è;V;un;RI;58
';FB;è;V;48
una;RI;relazione;S;43
c;S;';FB;38
concetto;S;di;E;31
è;V;una;RI;28
chiave;S;primaria;A;27
modello;S;relazionale;A;25
in;E;una;RI;22
di;E;una;RI;22
non;BN;è;V;22
super;A;chiave;S;22
tutte;T;le;RD;21
è;V;la;RD;21
una;RI;tabella;S;21
una;RI;chiave;S;21
è;V;il;RD;20
il;RD;modello;S;19
in;E;un;RI;19
il;RD;concetto;S;18
se;CS;io;PE;18
la;RD;relazione;S;18
un;RI;vincolo;S;18
che;PR;è;V;17
di;E;un;RI;17
la;RD;chiave;S;17
chiave;S;esterna;A;17
in;E;questo;DD;16
di;E;chiave;S;16
dei;E+RD;dati;S;15
non;BN;c;S;15
sullo;E+RD;stesso;A;15
in;E;cui;PR;15
non;BN;è;VA;14
si;PC;chiama;V;14
nella;E+RD;relazione;S;14
dire;V;che;CS;13
che;PR;sono;VA;13
base;S;dati;V;13
un;RI;`;NO;13
il;RD;valore;S;13
la;RD;matricola;S;13
vincolo;S;di;E;13
un;RI;altro;A;12
in;E;maniera;S;12
base;S;dati;S;12
insieme;S;di;E;12
un;RI;`;X;12
il;RD;nome;S;12
stesso;A;dominio;S;12
prodotto;S;cartesiano;A;12
`;X;altra;A;12
il;RD;vincolo;S;12
codice;S;fiscale;A;12
di;E;dati;S;11
che;CS;la;RD;11
che;PR;non;BN;11
vi;PC;ho;VA;11
di;E;relazione;S;11
un;RI;attributo;S;11
lo;RD;stesso;A;11
un;RI;dominio;S;11
ci;PC;sono;V;11
il;RD;dominio;S;11
da;E;un;RI;11
che;PR;si;PC;11
modello;V;relazionale;A;10
e;CC;quindi;B;10
più;B;avanti;B;10
le;RD;istanze;S;10
un;RI;dbms;S;10
tutti;T;gli;RD;10
è;V;che;CS;10
la;RD;stessa;A;10
di;E;loro;PE;10
della;E+RD;relazione;S;10
se;CS;voi;PE;10
due;N;relazioni;S;10
gli;RD;attributi;S;10
di;E;attributi;S;10
su;E;un;RI;9
un;RI;insieme;S;9
di;E;due;N;9
i;RD;valori;S;9
nell;S;`;X;9
in;E;realtà;S;9
un;RI;prodotto;S;9
un;RI;valore;S;9
chiave;S;è;V;9
questa;DD;relazione;S;9
vuol;VM;dire;V;8
la;RD;base;S;8
una;RI;struttura;S;8
che;PR;è;VA;8
nel;E+RD;modello;S;8
degli;E+RD;attributi;S;8
fra;E;di;E;8
ad;E;esempio;S;8
relazione;S;studenti;S;8
la;RD;squadra;S;8
a;E;un;RI;8
che;PR;mi;PC;8
ciò;PD;che;PR;8
cos;SP;';FB;8
se;CS;il;RD;8
super;A;chiavi;S;8
quello;PD;che;PR;7
dati;S;che;PR;7
non;BN;ci;PC;7
le;RD;applicazioni;S;7
dei;E+RD;vincoli;S;7
di;E;cui;PR;7
per;E;cui;PR;7
sono;V;le;RD;7
questo;DD;oggetto;S;7
una;RI;base;S;7
ma;CC;non;BN;7
che;PR;sono;V;7
relazione;S;che;PR;7
è;VA;definito;V;7
del;E+RD;modello;S;7
di;E;uno;RI;7
questa;PD;è;V;7
questo;PD;è;V;7
il;RD;significato;S;7
fatto;S;che;CS;7
non;BN;lo;PC;7
può;VM;essere;VA;7
vincolo;S;che;PR;7
una;RI;super;A;7
la;RD;proprietà;S;7
definizione;S;di;E;7
proprietà;S;di;E;7
chiavi;S;candidate;V;7
i;RD;vincoli;S;7
di;E;integrità;S;7
con;E;cui;PR;6
lo;RD;schema;S;6
uno;PI;dei;E+RD;6
che;PR;in;E;6
in;E;questa;DD;6
dal;E+RD;punto;S;6
punto;S;di;E;6
di;E;vista;S;6
un;RI;esempio;S;6
io;PE;ho;V;6
che;CS;nel;E+RD;6
istanza;S;di;E;6
un;RI;sottoinsieme;S;6
un;RI;modello;S;6
bisogno;S;di;E;6
che;CS;una;RI;6
modello;S;logico;A;6
che;CS;non;BN;6
la;RD;realtà;S;6
definiti;V;sullo;E+RD;6
questo;DD;modo;S;6
e;CC;il;RD;6
tutti;T;i;RD;6
nel;E+RD;senso;S;6
cartesiano;S;di;E;6
quindi;B;una;RI;6
ho;VA;detto;V;6
dominio;S;string;S;6
numero;S;di;E;6
dei;E+RD;valori;S;6
dominio;S;e;CC;6
all;S;`;X;6
il;RD;fatto;S;6
può;VM;essere;V;6
da;E;qualche;DI;6
qualche;DI;parte;S;6
due;N;attributi;S;6
altra;A;relazione;S;6
valore;S;nullo;A;6
almeno;B;una;RI;6
dico;V;che;CS;6
come;E;chiave;S;6
è;V;chiave;S;6
una;RI;cosa;S;5
noi;PE;non;BN;5
che;CS;si;PC;5
cui;PR;ci;PC;5
quindi;B;in;E;5
deve;VM;essere;VA;5
è;V;quello;PD;5
dell;S;`;X;5
dello;E+RD;schema;S;5
con;E;il;RD;5
in;E;due;N;5
i;RD;dati;S;5
quindi;B;il;RD;5
di;E;schemi;S;5
un;RI;concetto;S;5
sono;V;i;RD;5
per;E;ora;B;5
un;RI;oggetto;S;5
istanze;S;di;E;5
cos;S;';FB;5
il;RD;vostro;AP;5
dell;E+RD;`;X;5
quando;CS;io;PE;5
le;RD;righe;S;5
queste;DD;due;N;5
in;E;termini;S;5
ho;V;bisogno;S;5
per;E;rappresentare;V;5
gli;RD;altri;A;5
in;E;relazione;S;5
a;E;cui;PR;5
che;CS;il;RD;5
come;CS;vedremo;V;5
un;RI;certo;A;5
del;E+RD;modello;V;5
le;RD;relazioni;S;5
un;RI;attimo;S;5
se;CS;non;BN;5
degli;E+RD;insiemi;S;5
così;B;via;B;5
senso;S;che;CS;5
dei;E+RD;domini;S;5
del;E+RD;dominio;S;5
noi;PE;sappiamo;V;5
qual;PQ;è;V;5
dall;S;`;X;5
attributi;S;e;CC;5
a;E;rappresentare;V;5
si;PC;dice;V;5
attributo;S;che;PR;5
perché;CS;non;BN;5
al;E+RD;concetto;S;5
il;RD;numero;S;5
qualche;DI;modo;S;5
attributi;S;che;PR;5
di;E;super;A;5
la;RD;definizione;S;5
questo;DD;vincolo;S;5
che;PR;esiste;V;5
una;RI;singola;A;5
della;E+RD;chiave;S;5
alzi;V;la;RD;5
la;RD;mano;S;5
è;V;solo;B;5
le;RD;chiavi;S;5
e;CC;30;N;5
di;E;dominio;S;5
un;RI;vigile;S;5
questo;DD;attributo;S;5
il;RD;codice;S;5
la;RD;lezione;S;4
base;S;di;E;4
fatto;V;di;E;4
non;BN;ho;VA;4
il;RD;dbms;S;4
base;S;dei;E+RD;4
che;CS;noi;PE;4
un;RI;singolo;A;4
che;CS;ci;PC;4
l'assenza;S;di;E;4
consente;V;di;E;4
ma;CC;in;E;4
cui;PR;c;S;4
quello;PD;di;E;4
e;CC;poi;B;4
gli;RD;schemi;S;4
di;E;questi;DD;4
che;PR;ha;V;4
schemi;S;e;CC;4
concetto;S;che;CS;4
di;E;questo;DD;4
una;RI;parte;S;4
che;CS;è;V;4
di;E;produzione;S;4
di;E;sviluppo;S;4
e;CC;la;RD;4
ha;V;un;RI;4
la;RD;mia;AP;4
i;RD;modelli;S;4
altri;A;modelli;S;4
questo;DD;caso;S;4
fra;E;i;RD;4
non;BN;ha;V;4
vedremo;V;fra;E;4
è;V;molto;B;4
studente;S;che;PR;4
sono;VA;definiti;V;4
che;CS;sono;VA;4
di;E;questa;DD;4
che;CS;io;PE;4
fra;E;un;RI;4
e;CC;così;B;4
quella;PD;che;PR;4
quindi;B;un;RI;4
o;CC;di;E;4
prodotto;S;cartesiano;S;4
è;V;irrilevante;A;4
crea;V;un;RI;4
per;E;costruzione;S;4
detto;V;in;E;4
io;PE;prendo;V;4
ma;CC;che;PR;4
due;N;volte;S;4
';FB;è;VA;4
squadra;S;ospitata;V;4
anche;B;se;CS;4
che;DQ;cosa;S;4
con;E;una;RI;4
una;RI;funzione;S;4
il;RD;suo;AP;4
un;RI;nome;S;4
è;VA;definita;V;4
il;RD;ruolo;S;4
cosa;PQ;è;VA;4
e;CC;che;PR;4
del;E+RD;concetto;S;4
è;V;questo;DD;4
ma;CC;questo;PD;4
sulla;E+RD;base;S;4
non;BN;esiste;V;4
l'attributo;V;matricola;S;4
matricola;S;e;CC;4
di;E;matricola;S;4
uno;RI;studente;S;4
mi;PC;dice;V;4
altra;A;parte;S;4
per;E;il;RD;4
molto;B;più;B;4
valori;S;ammissibili;A;4
gli;RD;studenti;S;4
che;CS;vi;PC;4
relazione;S;a;E;4
ed;CC;è;VA;4
