durata;inizio
0:00:41.080000;01:40:43.540
0:00:17.340000;01:01:44.650
0:00:15.840000;01:34:19.020
0:00:11.830000;01:28:52.850
0:00:11.120000;01:15:40.530
0:00:09.270000;01:15:28.560
0:00:09.230000;01:24:11.550
0:00:08.970000;00:39:33.440
0:00:08.580000;01:20:49.320
0:00:08.440000;01:02:40.250
0:00:08.110000;00:33:52.720
0:00:07.830000;00:23:10.250
0:00:07.660000;01:13:01.150
0:00:07.431000;01:33:16.359
0:00:07.250000;00:10:32.010
0:00:06.530000;01:33:34.980
0:00:06.500000;00:49:03.600
0:00:06.420000;01:30:02.480
0:00:06.389000;00:34:15.770
0:00:06.110000;00:20:44.690
0:00:06.060000;01:30:29.429
0:00:06.050000;00:05:18.720
0:00:05.970000;01:39:39.760
0:00:05.969000;01:10:23.230
0:00:05.910000;01:15:18.600
0:00:05.880000;00:57:52.450
0:00:05.810000;01:14:26.020
0:00:05.780000;00:01:29.660
0:00:05.571000;01:12:15.869
0:00:05.510000;01:13:26.780
0:00:05.490000;01:33:28.770
0:00:05.450000;01:15:12.150
0:00:05.250000;00:44:22.470
0:00:05.190000;00:13:32.350
0:00:05.180000;01:07:54.170
0:00:05.150000;01:29:10.950
0:00:05.130000;01:08:27.410
0:00:05.119000;01:01:08.200
0:00:05.100000;01:29:31.790
0:00:05.040000;01:16:59.599
0:00:04.859000;01:16:19.280
0:00:04.830000;01:45:25.010
0:00:04.819000;01:10:47.320
0:00:04.819000;01:31:14.070
0:00:04.790000;01:12:46.970
0:00:04.770000;00:47:38.250
0:00:04.760000;00:59:43.450
0:00:04.711000;01:12:53.989
0:00:04.680000;00:06:44.450
0:00:04.680000;01:35:21.410
0:00:04.590000;01:02:52.980
0:00:04.550000;00:31:41.070
0:00:04.410000;01:39:52.360
0:00:04.380000;00:32:28.240
0:00:04.380000;00:58:02.230
0:00:04.380000;01:32:01.679
0:00:04.350000;01:17:43.880
0:00:04.260000;00:47:14.670
0:00:04.250000;00:33:35.169
0:00:04.230000;00:48:03.590
0:00:04.161000;01:21:44.159
0:00:04.161000;01:33:03.849
0:00:04.160000;01:04:52.170
0:00:04.130000;00:27:37.630
0:00:04.130000;01:03:26.910
0:00:04.130000;01:14:37.440
0:00:04.110000;01:14:16.750
0:00:04.100000;01:37:39.540
0:00:04.069000;01:12:10.800
0:00:03.980000;01:05:11.390
0:00:03.950000;00:10:40.820
0:00:03.930000;00:28:00.100
0:00:03.920000;00:25:14.740
0:00:03.920000;00:51:31.470
0:00:03.920000;01:13:34.730
0:00:03.890000;01:44:50.660
0:00:03.860000;01:17:04.639
0:00:03.840000;00:52:56.820
0:00:03.820000;01:19:06.860
0:00:03.750000;00:58:56.410
0:00:03.750000;01:18:00.470
0:00:03.741000;01:12:22.889
0:00:03.740000;01:26:24.020
0:00:03.721000;01:31:26.699
0:00:03.709000;01:22:40.260
0:00:03.690000;01:29:39.870
0:00:03.690000;01:35:08.400
0:00:03.680000;00:59:28.090
0:00:03.660000;01:05:38.510
0:00:03.651000;00:38:38.809
0:00:03.651000;01:30:20.519
0:00:03.630000;00:45:39.870
0:00:03.630000;01:12:41.710
0:00:03.620000;01:12:27.750
0:00:03.610000;01:05:00.310
0:00:03.590000;00:11:43.130
0:00:03.590000;01:24:03.780
0:00:03.580000;01:40:39.630
0:00:03.569000;00:14:51.520
0:00:03.569000;00:35:17.780
0:00:03.540000;00:46:05.070
0:00:03.540000;01:00:31.059
0:00:03.540000;01:22:14.159
0:00:03.530000;01:35:12.090
0:00:03.500000;00:06:40.950
0:00:03.490000;01:37:50.480
0:00:03.480000;01:21:05.189
0:00:03.460000;01:03:02.060
0:00:03.450000;00:24:24.370
0:00:03.450000;00:29:53.760
0:00:03.450000;00:47:34.800
0:00:03.450000;01:29:46.460
0:00:03.420000;01:12:33.170
0:00:03.420000;01:19:30.690
0:00:03.420000;01:23:37.920
0:00:03.390000;01:43:44.360
0:00:03.380000;00:21:32.150
0:00:03.380000;01:30:48.449
0:00:03.360000;01:38:03.870
0:00:03.360000;01:39:58.060
0:00:03.330000;00:10:19.170
0:00:03.330000;00:12:00.380
0:00:03.330000;01:30:13.740
0:00:03.300000;01:10:35.530
0:00:03.299000;01:31:40.530
0:00:03.290000;01:05:27.290
0:00:03.290000;01:12:38.420
0:00:03.270000;01:16:11.380
0:00:03.260000;01:40:36.370
0:00:03.230000;00:00:50.600
0:00:03.230000;01:05:19.880
0:00:03.220000;00:16:26.540
0:00:03.200000;01:40:06.100
0:00:03.170000;00:48:22.650
0:00:03.150000;01:07:27.830
0:00:03.150000;01:26:32.090
0:00:03.140000;01:26:08.600
0:00:03.120000;01:04:45.000
0:00:03.110000;00:34:54.800
0:00:03.110000;01:04:28.980
0:00:03.110000;01:20:20.670
0:00:03.110000;01:25:51.560
0:00:03.091000;01:09:25.929
0:00:03.090000;00:07:48.380
0:00:03.090000;00:47:49.740
0:00:03.090000;01:03:46.050
0:00:03.090000;01:43:54.070
0:00:03.079000;00:53:02.760
0:00:03.061000;00:29:05.669
0:00:03.060000;01:36:44.820
0:00:03.050000;01:39:46.510
0:00:03.030000;00:59:08.950
0:00:03.020000;01:02:19.280
0:00:03.020000;01:17:19.309
0:00:03;00:37:03.750
0:00:03;01:20:59.669
0:00:03;01:27:54.710
0:00:02.990000;00:42:52.089
0:00:02.980000;01:14:10.750
0:00:02.969000;01:09:52.210
0:00:02.960000;00:37:16.380
0:00:02.930000;01:10:42.550
0:00:02.930000;01:38:43.090
0:00:02.920000;01:31:09.619
0:00:02.900000;00:26:31.630
0:00:02.900000;00:39:44.390
0:00:02.900000;01:02:27.050
0:00:02.890000;00:09:05.840
0:00:02.890000;01:20:25.820
0:00:02.880000;00:15:09.230
0:00:02.880000;01:28:27.040
0:00:02.880000;01:35:46.200
0:00:02.870000;00:55:50.130
0:00:02.850000;00:51:41.910
0:00:02.850000;00:58:32.230
0:00:02.849000;01:21:31.860
0:00:02.840000;00:36:25.350
0:00:02.840000;01:14:31.830
0:00:02.840000;01:16:40.639
0:00:02.810000;00:23:52.810
0:00:02.810000;01:23:03.269
0:00:02.791000;00:28:17.309
0:00:02.790000;01:43:49.010
0:00:02.760000;00:21:18.740
0:00:02.750000;00:38:52.910
0:00:02.750000;01:24:29.030
0:00:02.730000;00:29:17.000
0:00:02.730000;00:42:12.250
0:00:02.730000;00:54:10.830
0:00:02.730000;01:16:04.639
0:00:02.730000;01:22:58.199
0:00:02.710000;00:40:46.420
0:00:02.701000;01:10:38.949
0:00:02.700000;00:23:31.490
0:00:02.700000;00:30:35.010
0:00:02.681000;00:38:07.779
0:00:02.670000;00:08:28.940
0:00:02.670000;00:25:10.630
0:00:02.670000;00:41:23.390
0:00:02.659000;01:09:00.560
0:00:02.640000;00:55:57.150
0:00:02.640000;01:00:01.990
0:00:02.640000;01:10:15.300
0:00:02.610000;00:48:27.060
0:00:02.610000;01:03:50.700
0:00:02.610000;01:33:24.120
0:00:02.600000;00:01:25.640
0:00:02.600000;00:20:09.299
0:00:02.600000;01:36:54.660
0:00:02.591000;00:43:42.089
0:00:02.580000;00:37:00.420
0:00:02.580000;01:05:35.630
0:00:02.570000;00:49:27.290
0:00:02.570000;01:34:45.240
0:00:02.551000;00:32:09.549
0:00:02.551000;00:39:00.079
0:00:02.550000;00:26:18.810
0:00:02.550000;01:11:47.760
0:00:02.520000;00:21:47.030
0:00:02.520000;01:31:21.630
0:00:02.510000;00:33:27.730
0:00:02.510000;00:41:16.940
0:00:02.490000;00:04:52.090
0:00:02.490000;00:12:56.420
0:00:02.490000;00:40:23.359
0:00:02.490000;00:56:19.680
0:00:02.490000;01:11:09.290
0:00:02.490000;01:43:13.370
0:00:02.480000;00:02:15.610
0:00:02.480000;00:50:42.260
0:00:02.480000;01:21:39.869
0:00:02.480000;01:33:50.400
0:00:02.460000;00:26:10.270
0:00:02.460000;00:42:30.430
0:00:02.460000;00:45:34.140
0:00:02.460000;00:50:11.390
0:00:02.460000;01:36:51.600
0:00:02.460000;01:38:09.390
0:00:02.450000;00:17:36.750
0:00:02.450000;00:17:48.240
0:00:02.450000;01:39:35.290
0:00:02.449000;00:15:14.390
0:00:02.440000;01:34:35.990
0:00:02.420000;01:26:13.820
0:00:02.400000;00:27:53.680
0:00:02.391000;00:30:27.299
0:00:02.391000;00:54:03.869
0:00:02.390000;00:33:23.769
0:00:02.390000;00:35:53.690
0:00:02.390000;01:13:51.890
0:00:02.390000;01:20:38.430
0:00:02.371000;00:21:24.679
0:00:02.371000;01:32:33.909
0:00:02.370000;00:19:47.549
0:00:02.370000;00:24:59.770
0:00:02.370000;00:30:55.890
0:00:02.370000;00:36:40.170
0:00:02.370000;01:29:56.580
0:00:02.370000;01:43:08.180
0:00:02.360000;00:29:23.880
0:00:02.360000;00:36:45.540
0:00:02.360000;01:17:38.900
0:00:02.351000;00:32:20.009
0:00:02.350000;00:50:50.500
0:00:02.340000;00:15:46.960
0:00:02.340000;00:25:54.490
0:00:02.339000;01:17:12.260
0:00:02.331000;00:31:16.679
0:00:02.330000;00:02:30.100
0:00:02.330000;00:45:29.850
0:00:02.330000;00:58:12.640
0:00:02.330000;01:14:46.710
0:00:02.311000;00:11:27.339
0:00:02.310000;00:58:10.330
0:00:02.309000;00:12:08.030
0:00:02.309000;00:32:49.090
0:00:02.300000;00:12:29.780
0:00:02.300000;00:14:14.720
0:00:02.300000;00:26:04.480
0:00:02.300000;00:48:39.930
0:00:02.300000;01:14:08.450
0:00:02.300000;01:40:01.900
0:00:02.280000;00:22:06.650
0:00:02.280000;01:07:10.720
0:00:02.280000;01:38:01.260
0:00:02.270000;00:20:31.190
0:00:02.270000;00:25:31.600
0:00:02.270000;01:02:36.980
0:00:02.270000;01:15:52.639
0:00:02.260000;00:10:55.660
0:00:02.250000;00:06:13.110
0:00:02.250000;00:07:18.710
0:00:02.250000;00:35:04.250
0:00:02.250000;00:41:31.190
0:00:02.250000;00:42:40.599
0:00:02.240000;00:38:17.119
0:00:02.240000;00:56:29.190
0:00:02.240000;01:06:18.110
0:00:02.240000;01:06:59.690
0:00:02.240000;01:26:49.700
0:00:02.240000;01:38:26.400
0:00:02.220000;00:01:36.420
0:00:02.220000;00:03:01.120
0:00:02.220000;00:31:54.120
0:00:02.220000;00:47:26.040
0:00:02.220000;01:02:34.490
0:00:02.210000;01:34:48.810
0:00:02.209000;01:08:17.630
0:00:02.191000;00:02:02.369
0:00:02.190000;00:09:36.620
0:00:02.190000;00:25:38.790
0:00:02.190000;00:55:06.900
0:00:02.190000;01:15:03.120
0:00:02.190000;01:24:42.950
0:00:02.189000;00:19:38.870
0:00:02.189000;00:42:47.650
0:00:02.181000;01:11:33.119
0:00:02.180000;01:43:00.230
0:00:02.170000;00:48:30.650
0:00:02.160000;00:06:32.040
0:00:02.160000;00:24:16.780
0:00:02.160000;00:26:39.460
0:00:02.160000;00:27:56.940
0:00:02.160000;00:28:28.649
0:00:02.160000;01:18:14.890
0:00:02.160000;01:35:28.620
0:00:02.150000;01:10:55.650
0:00:02.140000;00:32:33.659
0:00:02.130000;00:32:14.919
0:00:02.130000;00:48:47.250
0:00:02.130000;01:29:18.600
0:00:02.130000;01:41:41.360
0:00:02.120000;00:26:14.020
0:00:02.120000;00:28:33.570
0:00:02.111000;00:07:04.419
0:00:02.100000;00:46:01.230
0:00:02.100000;01:18:49.340
0:00:02.099000;00:32:07.450
0:00:02.090000;01:25:22.760
0:00:02.090000;01:28:10.250
0:00:02.089000;00:16:20.750
0:00:02.070000;00:05:37.770
0:00:02.070000;00:22:28.850
0:00:02.070000;00:57:31.900
0:00:02.070000;00:58:06.790
0:00:02.070000;01:03:31.040
0:00:02.070000;01:25:46.070
0:00:02.069000;00:07:23.630
0:00:02.069000;00:28:04.320
0:00:02.069000;00:53:15.780
0:00:02.060000;00:16:12.800
0:00:02.060000;00:53:55.740
0:00:02.060000;00:59:17.140
0:00:02.041000;00:31:27.299
0:00:02.040000;00:27:45.640
0:00:02.040000;00:54:41.940
0:00:02.040000;01:26:42.680
