c;S;';FB;è;V;34
il;RD;concetto;S;di;E;17
non;BN;c;S;';FB;13
sullo;E+RD;stesso;A;dominio;S;12
';FB;è;V;un;RI;11
il;RD;modello;S;relazionale;A;11
è;V;un;RI;vincolo;S;11
';FB;è;V;la;RD;10
di;E;una;RI;relazione;S;9
fra;E;di;E;loro;PE;8
cos;SP;';FB;è;V;8
concetto;S;di;E;chiave;S;8
un;RI;insieme;S;di;E;7
nel;E+RD;modello;S;relazionale;A;7
in;E;una;RI;relazione;S;7
un;RI;`;X;altra;A;7
vincolo;S;di;E;integrità;S;7
dal;E+RD;punto;S;di;E;6
punto;S;di;E;vista;S;6
in;E;un;RI;dbms;S;6
definiti;V;sullo;E+RD;stesso;A;6
in;E;questo;DD;modo;S;6
';FB;è;V;una;RI;6
un;RI;prodotto;S;cartesiano;A;6
il;RD;fatto;S;che;CS;6
da;E;qualche;DI;parte;S;6
il;RD;vincolo;S;di;E;6
una;RI;super;A;chiave;S;6
la;RD;chiave;S;primaria;A;6
la;RD;base;S;dati;V;5
è;V;un;RI;concetto;S;5
cos;S;';FB;è;V;5
ho;V;bisogno;S;di;E;5
nel;E+RD;senso;S;che;CS;5
questo;PD;è;V;un;RI;5
su;E;un;RI;dominio;S;5
al;E+RD;concetto;S;di;E;5
che;PR;si;PC;chiama;V;5
chiave;S;è;V;un;RI;5
insieme;S;di;E;attributi;S;5
di;E;super;A;chiave;S;5
tutte;T;le;RD;istanze;S;5
alzi;V;la;RD;mano;S;5
come;E;chiave;S;primaria;A;5
il;RD;codice;S;fiscale;A;5
vuol;VM;dire;V;che;CS;4
cui;PR;c;S;';FB;4
se;CS;io;PE;ho;V;4
una;RI;base;S;dati;V;4
in;E;questo;DD;caso;S;4
è;V;un;RI;attributo;S;4
e;CC;così;B;via;B;4
cartesiano;S;di;E;due;N;4
c;S;';FB;è;VA;4
del;E+RD;concetto;S;di;E;4
in;E;una;RI;tabella;S;4
tutti;T;gli;RD;attributi;S;4
`;X;altra;A;parte;S;4
i;RD;valori;S;ammissibili;A;4
è;V;la;RD;matricola;S;4
ed;CC;è;VA;finito;V;4
un;RI;`;NO;altra;A;4
`;NO;altra;A;relazione;S;4
che;CS;cos;SP;';FB;4
è;V;la;RD;chiave;S;4
super;A;chiave;S;è;V;4
un;RI;vincolo;S;che;PR;4
io;PE;dico;V;che;CS;4
la;RD;mano;S;chi;PR;4
mano;S;chi;PR;dice;V;4
è;V;una;RI;chiave;S;4
in;E;questa;DD;relazione;S;4
la;RD;proprietà;S;di;E;4
di;E;chiave;S;primaria;A;4
qual;PQ;è;V;il;RD;4
in;E;qualche;DI;modo;S;4
compreso;V;fra;E;0;N;4
un;RI;vigile;S;che;PR;4
di;E;integrità;S;referenziale;A;4
una;RI;chiave;S;esterna;A;4
una;RI;chiave;S;primaria;A;4
non;BN;è;VA;mai;B;4
base;S;di;E;dati;S;3
tutte;T;le;RD;applicazioni;S;3
le;RD;operazioni;S;di;E;3
di;E;cui;PR;ci;PC;3
la;RD;base;S;dati;S;3
schemi;S;e;CC;istanze;S;3
una;RI;relazione;S;di;E;3
di;E;una;RI;base;S;3
possono;VM;esistere;V;più;B;3
è;V;un;RI;`;X;3
di;E;tre;N;cose;S;3
è;VA;fatto;V;di;E;3
una;RI;base;S;dati;S;3
dati;S;che;PR;sono;VA;3
il;RD;nome;S;di;E;3
il;RD;modello;V;relazionale;A;3
per;E;rappresentare;V;la;RD;3
rappresentare;V;la;RD;realtà;S;3
come;CS;vedremo;V;fra;E;3
sono;VA;definiti;V;sullo;E+RD;3
vedremo;V;più;B;avanti;B;3
in;E;un;RI;`;X;3
del;E+RD;modello;V;relazionale;A;3
